City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,kieta,-6.2167,155.6333,28.68,76,97,2.81,PG,1673233029
276,flinders,-34.5833,150.8552,27.88,61,0,3.13,AU,1673233029
277,sawakin,19.1059,37.3321,19.26,72,4,2.98,SD,1673232983
278,totma,59.9747,42.7642,-38.02,100,25,0.38,RU,1673233030
279,ilulissat,69.2167,-51.1,-23.18,85,57,1.74,GL,1673233030
280,arauco,-37.2463,-73.3175,14.21,95,4,1.92,CL,1673233030
281,malanje,-9.5402,16.341,16.36,97,100,1.13,AO,1673233031
282,ruston,32.5232,-92.6379,6.9,100,0,0.0,US,1673232785
283,piste,20.7,-88.5833,20.17,96,27,1.26,MX,1673233031
284,krasnoselkup,65.7,82.4667,-35.42,100,74,3.73,RU,1673233032
285,wajima,37.4,136.9,6.38,100,75,4.12,JP,1673233032
286,zavodskoy,43.4597,132.2922,-5.23,45,35,7.0,RU,1673233032
287,kuloy,61.0305,42.4925,-36.26,100,12,1.05,RU,1673233033
288,quthing,-30.4,27.7003,15.24,53,0,1.61,LS,1673233033
289,labuhan,-6.8844,112.2051,28.86,65,99,2.73,ID,1673233034
290,buchanan,5.8808,-10.0467,25.41,87,23,2.36,LR,1673233034
291,chapais,49.7834,-74.8492,-9.12,95,100,3.93,CA,1673233034
292,dingle,10.9995,122.6711,25.17,88,100,5.17,PH,1673233035
293,boyolangu,-8.1181,111.8935,28.86,65,94,2.54,ID,1673232801
294,kadoma,34.7333,135.5833,13.14,55,20,1.54,JP,1673232753
295,salamiyah,35.0113,37.0532,6.42,82,10,2.28,SY,1673232836
296,tomigusuku,26.185,127.675,20.87,60,40,4.12,JP,1673233036
297,saldanha,-33.0117,17.9442,14.03,95,14,0.83,ZA,1673233036
298,avera,33.194,-82.5271,13.08,67,100,2.95,US,1673233037
299,virpur,23.1833,73.4833,17.33,48,0,3.06,IN,1673233037
300,marzuq,14.4,46.4667,14.87,77,1,1.37,YE,1673233038
301,alamosa,37.4695,-105.87,-5.74,65,55,1.16,US,1673233038
302,samarai,-10.6167,150.6667,29.8,69,97,3.54,PG,1673233038
303,cabra,37.4725,-4.4421,12.9,98,100,4.38,ES,1673233039
304,kroya,-7.6331,109.2461,28.45,70,79,1.36,ID,1673233039
305,kijini,-5.85,39.3167,25.85,83,51,3.73,TZ,1673233039
306,praxedis guerrero,31.3667,-106.0167,13.03,37,90,1.17,MX,1673233040
307,nizhniy tsasuchey,50.5167,115.1333,-13.4,75,79,1.98,RU,1673233040
308,venado tuerto,-33.7456,-61.9688,27.65,32,2,5.19,AR,1673233040
309,chongoyape,-6.6406,-79.3892,23.63,68,100,0.9,PE,1673233041
310,rio gallegos,-51.6226,-69.2181,24.03,31,0,7.72,AR,1673233041
311,anton lizardo,19.05,-95.9833,24.56,83,3,3.4,MX,1673233042
312,dunedin,-45.8742,170.5036,15.45,95,0,7.55,NZ,1673233042
313,anchorage,61.2181,-149.9003,-8.93,88,75,1.79,US,1673232786
314,aleppo,36.25,37.5,5.4,76,0,3.78,SY,1673233043
315,digras,20.1167,77.7167,17.51,28,0,1.43,IN,1673232901
316,ngara,-2.5122,30.6558,11.74,94,46,0.58,TZ,1673233043
317,lufilufi,-13.8745,-171.5986,28.88,71,92,7.59,WS,1673233043
318,kon tum,14.35,108.0,23.97,76,96,2.28,VN,1673233044
319,kirakira,-10.4544,161.9205,29.16,74,86,3.91,SB,1673233044
320,radyvyliv,50.1299,25.2558,1.21,94,100,8.92,UA,1673233044
321,krasnokamensk,50.0979,118.0369,-15.4,90,80,1.85,RU,1673233045
322,buckingham,51.9997,-0.9878,5.46,94,100,0.89,GB,1673233045
323,lisala,2.15,21.5167,18.96,50,84,0.65,CD,1673232885
324,ponta delgada,37.7333,-25.6667,16.4,100,75,2.57,PT,1673232764
325,mahebourg,-20.4081,57.7,26.25,83,75,3.09,MU,1673233046
326,coro,11.4045,-69.6734,24.35,89,33,4.62,VE,1673233046
327,lebu,-37.6167,-73.65,14.6,94,6,1.76,CL,1673233047
328,pankovka,58.5,31.1999,-10.11,86,100,5.09,RU,1673233048
329,san quintin,30.4833,-115.95,14.97,72,64,3.34,MX,1673233048
330,uyuni,-20.4597,-66.825,11.77,31,0,1.97,BO,1673233048
331,gilbues,-9.8317,-45.3439,22.81,80,73,0.47,BR,1673233049
332,moerai,-22.4333,-151.3333,24.82,81,100,3.62,PF,1673233049
333,cap-aux-meules,47.3821,-61.8597,-4.97,74,100,7.2,CA,1673233050
334,san carlos de bariloche,-41.1456,-71.3082,19.86,52,20,6.17,AR,1673233050
335,iqaluit,63.7506,-68.5145,-30.15,69,75,11.32,CA,1673232858
